	Japanese	English	Japanese Example	English Sentence	listening score	speaking score
0	みみ	ear, hearing	かのじょ は <b>みみ</b> が よく きこえません	Her hearing isn't very good.	0	0
1	じょうず	good, skilled	いもうと は うた が <b>じょうず</b> です	My little sister can sing.	0	0
2	て	hand	わかった ひと は <b>て</b> を あげて ください	Please raise your hand if you understand.	0	0
3	あし	leg, foot	かれ は <b>あし</b> が ながい	He has long legs.	0	0
4	おとこ	man, male	<b>おとこ</b> の ひと が わたしたち に はなしかけた	This guy began talking to us.	0	0
5	おんな	woman, girl	てんいん は わかい <b>おんな</b> の ひと でした	The salesclerk was a young woman.	0	0
6	こども	child, kid	でんしゃ で <b>こども</b> が さわいで いた	Kids were making a racket in the train.	0	0
7	すき	favorite, liked	わたし は わいん が <b>すき</b> です	I like wine.	0	0
8	だいすき	love	わたし は いぬ が <b>だいすき</b> だ	I love dogs.	0	0
9	ともだち	friend, companion	わたし に は <b>ともだち</b> が たくさん います	I have a lot of friends.	0	0
10	てんき	weather	きょう は いい <b>てんき</b> です ね	It's nice out today.	0	0
11	こう	like this, this kind of	<b>こう</b> ちいさい じ は よめない	I can't read such small letters.	0	0
12	じかん	time, hour	いま は <b>じかん</b> が ありません	I don't have time now.	0	0
13	たかい	high, tall	これ が この まち で いちばん <b>たかい</b> びる です	This is the tallest building in town.	0	0
14	やすい	inexpensive, cheap	この ふく は とても <b>やすかった</b>	These clothes were very cheap.	0	0
15	ひくい	low, short	かれ は せ が <b>ひくい</b>	He's short.	0	0
16	まえ	front, before	その みせ の <b>まえ</b> で あいましょう	Let's meet in front of the shop.	0	0
17	うしろ	back, behind	<b>うしろ</b> を むいて	Turn around.	0	0
18	ごご	afternoon, p.m.	あす の <b>ごご</b> おきゃくさま が くる	A guest is coming to visit tomorrow afternoon.	0	0
19	ごぜん	morning, a.m.	<b>ごぜん</b> くじ の にゅーす です	And now for the 9.00 a.m. news.	0	0
20	あさ	morning	きもち の いい <b>あさ</b> です	It's a pleasant morning.	0	0
21	ひる	daytime, midday	わたし は <b>ひる</b> の どらま を まいにち みます	I watch daytime dramas every day.	0	0
22	かなり	fairly, rather	かれ は <b>かなり</b> えいご が じょうず です	He's pretty good at English.	0	0
23	こんばん	this evening, tonight	<b>こんばん</b> の ぱーてぃー は なんじ から です か	From what time is the party tonight?	0	0
24	たべる	eat	きのう たいかれー を <b>たべました</b>	I had Thai curry yesterday.	0	0
25	のむ	drink	ともだち と おさけ を <b>のんで います</b>	I'm drinking sake with a friend.	0	0
26	ごはん	cooked rice, meal	わたし は ぱん より <b>ごはん</b> が すき だ	I prefer rice to bread.	0	0
27	みせる	show	その しゃしん を <b>みせて</b> ください	Please show me those pictures.	0	0
28	もっと	more	<b>もっと</b> ちかく に きて ください	Please come closer.	0	0
29	みつける	find	あたらしい しごと を <b>みつけました</b>。	I found a new job.	0	0
30	みえる	be visible	ここ から ふじさん が よく <b>みえます</b>	You can see Mount Fuji well from here.	0	0
31	みつかる	be found, be caught	めがね が <b>みつかりません</b>	I can't find my glasses.	0	0
32	いう	say, tell	じょうし が いっぱい のもう と <b>いった</b>	"My boss said: """"Let's have a drink."""""	0	0
33	せん	thousand@line	<b>せん</b>えん かして ください@あかい <b>せん</b> を に ほん ひいて ください	Please lend me 1000 yen.@Please draw two red lines.	0	0
34	よむ	read	かのじょ は ざっし を <b>よんで います</b>	She's reading the magazine.	0	0
35	おぼえる	memorize, learn	いもうと は ひらがな を ぜんぶ <b>おぼえました</b>	My little sister learned all the hiragana.	0	0
36	しごと	work, job	さんがつ は <b>しごと</b> が いそがしい	I have a lot of work in March.	0	0
37	ばあい	situation, case	わからない <b>ばあい</b> は わたし に きいて ください	Please ask me if you don't understand.	0	0
38	でんしゃ	train	わたし は <b>でんしゃ</b> で つうがく して います	I go to school by train.	0	0
39	あるく	walk, go on foot	えき まで <b>あるきましょう</b>	Let's walk to the station.	0	0
40	はしる	run	かれ は まいばん さんきろ <b>はしって います</b>	Every night he runs three kilometers.	0	0
41	ちかい	near, soon	えき は ここ から <b>ちかい</b> です	The station is near here.	0	0
42	ちかく	near, close to@vicinity, nearby	えき の <b>ちかく</b> で しょくじ を した@わたし の いえ は えき の <b>ちかく</b> です	I ate near the station.@My house is near the station.	0	0
43	とおい	far, distant	いえ から がっこう まで は <b>とおい</b> です	It's a long way from my house to the school.	0	0
44	ながい	long	かのじょ の かみ は とても <b>ながい</b>	Her hair is very long.	0	0
45	みじかい	short, brief	かれ は あし が <b>みじかい</b>	His legs are short.	0	0
46	ひろい	wide, big	かれ の いえ は とても <b>ひろい</b>	His house is very big.	0	0
47	もらう	receive	かのじょ から ぷれぜんと を <b>もらいました</b>	I got a present from her.	0	0
48	ぜんぶ	all, wholly	それ <b>ぜんぶ</b> ください	I'd like all of those, please.	0	0
49	くに	country	わたし の <b>くに</b> に ついて すこし おはなし しましょう	Let me tell you a bit about my country.	0	0
50	しろい	white, blank	かれ は は が <b>しろい</b>	His teeth are white.	0	0
51	あかい	red	<b>あかい</b> ばら を かいました	I bought a red rose.	0	0
52	へや	room	わたし の <b>へや</b> は にかい に あります	My room is on the second floor.	0	0
53	こめ	rice (grain)	にほんじん は お<b>こめ</b> が だいすき です	Japanese people love rice.	0	0
54	まだ	yet, more	しゅくだい は <b>まだ</b> おわって いません	I haven't finished my homework yet.	0	0
55	ある	exist, possess	わたし の つくえ の うえ に しょるい が たくさん <b>あります</b>	There are a lot of documents on my desk.	0	0
56	ない	to not be	ここ に は なに も <b>ない</b>	There's nothing here.	0	0
57	とても	very	この ほん は <b>とても</b> おもしろい	This book is very interesting.	0	0
58	つくる	make, create	いま あさごはん を <b>つくって います</b>	I'm making breakfast now.	0	0
59	つかう	use	この ぱそこん を <b>つかって</b> ください	Please use this computer.	0	0
60	けす	switch off, turn off	ひるま は でんき を <b>けして</b> ください	Please turn the lights off during the day.	0	0
61	うる	sell	かれ は いえ を <b>うった</b>	He sold the house.	0	0
62	みせ	shop, store	わたし は この <b>みせ</b> に よく きます	I come to this store quite often.	0	0
63	なつ	summer	わたし は <b>なつ</b> が だいすき	I just love summer.	0	0
64	ふゆ	winter	かなだ の <b>ふゆ</b> は とても さむい です	Canada's winters are very cold.	0	0
65	みんな	all, everybody	<b>みんな</b> に おかし を あげましょう	Let's give everyone some sweets.	0	0
66	さむい	cold (temperature of the air)	この へや は <b>さむい</b> です	It's cold in this room.	0	0
67	あたたかい	warm	この こーと は とても <b>あたたかい</b>。	This coat is really warm.	0	0
68	あたらしい	new	かれ の くるま は <b>あたらしい</b>	His car is new.	0	0
69	ふるい	old	わたし は <b>ふるい</b> くるま が すき です	I like old cars.	0	0
70	わるい	bad	たばこ は からだ に <b>わるい</b>	Cigarettes are bad for your health.	0	0
71	おもう	think	わたし も そう <b>おもいます</b>	I think so too.	0	0
72	しち	seven	その ぐるーぷ の めんばー は ぜんぶ で <b>しち</b>にん だ	There are seven members of the group in all.	0	0
73	なな	seven	ばなな が <b>なな</b>ほん あります	There are seven bananas.	0	0
74	わすれる	forget, leave behind	やくそく を <b>わすれない で</b> ください	Please don't forget your promise.	0	0
75	かんがえる	think, consider	よく <b>かんがえて</b> ください	Please think carefully.	0	0
