Kanji	English	Reading	Example Sentence	Example Sentence Reading	English Sentence	reading score	writing score
それ	that, that one	それ	<b>それ</b>はとってもいい話だ。	<b>それ</b> は とっても いい はなし だ	That's a really nice story.	0	0
一つ	one (thing)	ひとつ	それを<b>一つ</b>ください。	それ を <b>ひとつ</b> ください	Please give me one of those.	0	0
一	one	いち	<b>一</b>から始めましょう。	<b>いち</b> から はじめましょう	Let's start from the beginning.	0	0
二	two	に	その人には<b>二</b>回会った。	その ひと に は <b>に</b> かい あった	I met that person twice.	0	0
二つ	two (things)	ふたつ	ソフトクリームを<b>二つ</b>ください。	そふとくりーむ を <b>ふたつ</b> ください	Please give me two ice cream cones.	0	0
三	three	さん	彼女は<b>三</b>人の子供の母親だ。	かのじょ は <b>さん</b>にん の こども の ははおや だ	She's the mother of three children.	0	0
三つ	three (things)	みっつ	コップを<b>三つ</b>買いました。	こっぷ を <b>みっつ</b> かいました	I bought three glasses.	0	0
四つ	four (things)	よっつ	私は腕時計を<b>四つ</b>持っています。	わたし は うでどけい を <b>よっつ</b> もって います	I have four wristwatches.	0	0
これ	this, this one	これ	<b>これ</b>をください。	<b>これ</b>をください。	I'll have this please.	0	0
四	four@four	し@よん	<b>四</b>月に大学に入学しました。@ハワイは<b>四</b>回目です。	<b>し</b>がつ に だいがく に にゅうがく しました@はわい は <b>よん</b>かいめ です	I entered my university in April.@This is my fourth trip to Hawaii.	0	0
五つ	five (things)	いつつ	桃を<b>五つ</b>ください。	もも を <b>いつつ</b> ください	I'd like five peaches, please.	0	0
五	five	ご	<b>五</b>人で旅行に行きました。	<b>ご</b>にん で りょこう に いきました	Five of us went on a trip.	0	0
六つ	six (things)	むっつ	息子は<b>六つ</b>になりました。	むすこ は <b>むっつ</b> に なりました	My son turned six.	0	0
六	six	ろく	彼には子供が<b>六</b>人います。	かれ に は こども が <b>ろく</b>にん います	He has six children.	0	0
七つ	seven (things)	ななつ	この子は今年<b>七つ</b>になります。	この こ は ことし <b>ななつ</b> に なります	Our kid's turning seven this year.	0	0
八	eight	はち	りんごを<b>八</b>個ください。	りんご を <b>はち</b>こ ください	Please give me eight apples.	0	0
八つ	eight (things)	やっつ	あの家には時計が<b>八つ</b>あります。	あの いえ に は とけい が <b>やっつ</b> あります	There are eight clocks in that house.	0	0
九つ	nine (things)	ここのつ	娘は明日<b>九つ</b>になります。	むすめ は あす <b>ここのつ</b> に なります	My daughter's turning nine tomorrow.	0	0
十	ten	じゅう	その子は指で<b>十</b>数えました。	その こ は ゆび で <b>じゅう</b> かぞえました	The child counted to ten on her fingers.	0	0
百	hundred	ひゃく	私の祖母は<b>百</b>才です。	わたし の そぼ は <b>ひゃく</b>さい です	My grandmother is 100 years old.	0	0
千	thousand	せん	<b>千</b>円貸してください。	<b>せん</b>えん かして ください	Please lend me 1000 yen.	0	0
万	ten thousand	まん	この靴は1<b>万</b>円です。	この くつ は いち<b>まん</b>えん です	These shoes are ten thousand yen.	0	0
円	yen@circle	えん@えん	カレーライスは700<b>円</b>です。@そこに大きな<b>円</b>を描いて。	かれーらいす は ななひゃく<b>えん</b> です@そこ に おおき な <b>えん</b> を かいて	The curry and rice is 700 yen.@Draw a big circle there.	0	0
時	time	とき	<b>時</b>の経つのは早い。	<b>とき</b> の たつ の は はやい	Time passes by quickly.	0	0
する	do, make	する	友達と一緒に宿題を<b>した</b>。	ともだち と いっしょ に しゅくだい を <b>した</b>	I did my homework with a friend.	0	0
時々	sometimes	ときどき	彼は<b>時々</b>遅刻します。	かれ は <b>ときどき</b> ちこく します	He's sometimes late.	0	0
六日	six days, 6th of the month	むいか	<b>六日</b>前に日本に帰ってきました。	<b>むいか</b>まえ に にほん に かえって きました	I came back to Japan six days ago.	0	0
三日	three days, 3rd of the month	みっか	手紙が届くのに<b>三日</b>かかりました。	てがみ が とどく の に <b>みっか</b> かかりました	It took three days for the letter to arrive.	0	0
五日	five days, 5th of the month	いつか	五月<b>五日</b>は祝日です	ごがつ <b>いつか</b> は しゅくじつ です	May 5th is a holiday.	0	0
八日	eight days, 8th of the month	ようか	<b>八日</b>からイギリスに行きます。	<b>ようか</b> から いぎりす に いきます	I go to England on the eighth.	0	0
二十日	20 days, 20th of the month	はつか	来月の<b>二十日</b>は弟の誕生日です。	らいげつ の <b>はつか</b> は おとうと の たんじょうび です	The 20th of next month is my little brother's birthday.	0	0
二日	two days, 2nd of the month	ふつか	私は<b>二日</b>待った。	わたし は <b>ふつか</b> まった	I waited two days.	0	0
九日	nine days, 9th of the month	ここのか	<b>九日</b>に荷物が届きます。	<b>ここのか</b> に にもつ が とどきます	The package will arrive on the ninth.	0	0
ところ	place	ところ	私は友達の<b>ところ</b>に泊まった。	わたし は ともだち の <b>ところ</b> に とまった	I stayed at my friend's place for the night.	0	0
一日	1st of the month	ついたち	来月の<b>一日</b>は空いていますか。	らいげつ の <b>ついたち</b> は あいています か	Are you free on the 1st of next month?	0	0
十日	ten days, 10th of the month	とおか	<b>十日</b>後に帰ります。	<b>とおか</b>ご に かえります	I'll come home in ten days.	0	0
七日	seven days, 7th of the month	なのか	先月の<b>七日</b>に孫が生まれました。	せんげつ の <b>なのか</b> に まご が うまれました	My grandchild was born on the seventh of last month.	0	0
四日	four days, 4th of the month	よっか	新学期は来月の<b>四日</b>からです。	しんがっき は らいげつ の <b>よっか</b> から です	The new school term starts on the fourth of next month.	0	0
月	moon	つき	今夜は<b>月</b>がとてもきれいです。	こんや は <b>つき</b> が とても きれい です	The moon looks so beautiful tonight.	0	0
水	water	みず	<b>水</b>を一杯ください。	<b>みず</b> を いっぱい ください	Please give me a glass of water.	0	0
日曜日	Sunday	にちようび	<b>日曜日</b>は海に行きました。	<b>にちようび</b> は うみ に いきました	We went to the seaside on Sunday.	0	0
土曜日	Saturday	どようび	<b>土曜日</b>の夜はクラブに行きます。	<b>どようび</b> の よる は くらぶ に いきます	I'm going to a club Saturday night.	0	0
金曜日	Friday	きんようび	<b>金曜日</b>の夜は友達と出かけます。	<b>きんようび</b> の よる は ともだち と でかけます	I go out with my friends on Friday nights.	0	0
月曜日	Monday	げつようび	<b>月曜日</b>に会いましょう。	<b>げつようび</b> に あいましょう	Let's meet on Monday.	0	0
木曜日	Thursday	もくようび	<b>木曜日</b>は仕事が休みです。	<b>もくようび</b> は しごと が やすみ です	Thursday is my day off work.	0	0
曜日	day of the week	ようび	<b>曜日</b>を間違えました。	<b>ようび</b> を まちがえました	I got the day of the week wrong.	0	0
火曜日	Tuesday	かようび	<b>火曜日</b>に会議があります。	<b>かようび</b> に かいぎ が あります	There's a meeting on Tuesday.	0	0
水曜日	Wednesday	すいようび	<b>水曜日</b>はバイトがあります。	<b>すいようび</b> は ばいと が あります	I have a part-time job on Wednesdays.	0	0
週	week	しゅう	その次の<b>週</b>は空いてますか。	その つぎ の <b>しゅう</b> は あいてます か	Are you free the following week?	0	0
年	year, age	とし	新しい<b>年</b>が始まりました。	あたらしい <b>とし</b> が はじまりました	A new year has started.	0	0
分かる	understand	わかる	質問の意味は<b>分かりました</b>か。	しつもん の いみ は <b>わかりました</b> か	Did you understand the meaning of the question?	0	0
そう	in such manner, that way	そう	私も<b>そう</b>思います。	わたし も <b>そう</b> おもいます	That's what I think too.	0	0
先	ahead, first	さき	お<b>先</b>にどうぞ。	お<b>さき</b>に どうぞ	Please go ahead.	0	0
今年	this year	ことし	<b>今年</b>はイタリアに旅行したい。	<b>ことし</b> は いたりあ に りょこう したい	I want to travel to Italy this year.	0	0
今	now	いま	彼は<b>今</b>、勉強しています。	かれ は <b>いま</b> べんきょう して います	He's studying now.	0	0
今月	this month	こんげつ	<b>今月</b>はとても忙しい。	<b>こんげつ</b> は とても いそがしい	I'm very busy this month.	0	0
